Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,Latitude,Longitude
1,Alpendorf (Ski amedé),Austria,1980,740,52,30,81,4,115,Yes,No,22,16,11,49,75398,600,47.32137000000000,13.19445
2,Soldeu-Pas de la Casa/​Grau Roig/​El Tarter/​Canillo/​Encamp (Grandvalira),Andorra,2640,1710,47,100,77,33,210,Yes,Yes,37,28,7,72,99017,1032,42.5324162,1.7002186
3,Oberau (Wildschönau),Austria,1130,900,30,1,0,1,2,No,No,2,0,0,2,1932,0,47.43797850000000,12.0404292
4,Dachstein West,Austria,1620,780,42,15,33,3,51,Yes,Yes,25,8,3,36,32938,163,47.5887695,13.4624002
5,Rosa Khutor,Southern Russia,2320,940,22,30,26,21,77,Yes,No,6,11,10,27,49228,450,43.67278600000000,40.297502
6,Białka Tatrzańska-Kotelnica-​Kaniówka-​Bania,Poland,910,680,23,12,3,0,16,Yes,Yes,7,1,0,8,28020,0,49.3907008,20.0973908
7,Vitosha-Sofia,Bulgaria,2290,726,18,12,6,2,20,No,Yes,8,5,2,15,12450,0,42.6308244,23.3135138
8,Szczyrk-Skrzyczne,Poland,1257,524,20,22,7,4,35,No,No,11,4,1,16,22500,0,49.6844492,19.030162
9,Jahorina,Bosnia and Herzegovina,1889,920,20,3,19,3,25,No,Yes,5,5,1,11,16230,0,43.7201538,18.5617283
10,Kobla-Bohinj,Slovenia,1480,540,22,12,10,1,23,No,No,3,3,0,6,5720,30,46.2673919,13.9587028
11,Aillons-Margériaz,France,1785,1370,19,18,4,1,24,No,No,7,1,0,8,10025,0,45.6429474,6.0623054
12,Gornaya Karusel,Southern Russia,960,540,22,4,15,1,20,No,No,3,1,0,4,15740,0,43.64719,40.25088
13,Kaiseregg-​Riggisalp-Schwarzsee,Switzerland,1750,1050,34,14,5,1,20,Yes,Yes,11,3,1,15,5790,46,46.6524,7.31905
14,St. Pierre de Chartreuse-Le Planolet,France,1800,900,21,18,12,5,35,No,No,3,2,0,5,12610,35,45.351651,5.8357142
15,Buchenberg-Buching-Halblech-,Germany,1140,810,25,2,4,0,6,No,No,2,1,0,3,2800,0,47.6063511,10.8112695
16,Méribel (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.3967099,6.5666896
17,Les Menuires (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383,45.32420220000000,6.5378012
18,Les Sybelles-Le Corbier-​La Toussuire-​Les Bottières-​St Colomban des Villards-​St Sorlin-​St Jean d’Arves,France,2620,1100,44,53,239,18,310,Yes,Yes,44,28,0,72,83807,514,45.2400281,6.2687141
19,Le Grand Massif-Flaine-​Les Carroz-​Morillon-​Samoëns-​Sixt,France,2476,694,47,135,95,35,265,Yes,No,34,29,9,72,97624,1100,46.0056216,6.6929908
20,Megève-​Saint-Gervais,France,2353,850,46,98,134,31,263,Yes,Yes,50,27,9,86,106362,888,45.856876,6.61775
21,Laax-​Flims-​Falera,Switzerland,3018,1100,68,88,81,19,188,Yes,No,13,9,11,33,46116,300,46.8012412,9.2304912
22,Vars-​Risoul-La Forêt Blanche,France,2750,1650,39,75,90,20,185,Yes,Yes,32,17,2,51,50145,0,44.5727564,6.6800519
23,Kicking Horse,France,1608,1500,39,56,93,30,180,Yes,No,21,13,4,38,40680,281,51.2975688,-117.0482516
24,Le Grand Domaine-Valmorel-​Doucy-​Celliers-​St François Longchamp,France,2550,1250,44,115,35,15,165,Yes,No,36,17,3,56,60248,332,45.433338,6.400014500000000
25,Galibier Thabor-Valmeinier-​Valloire,France,2594,1430,39,75,60,15,150,Yes,Yes,12,17,2,31,43300,400,45.1625,6.4294444
26,Zillertal Arena-Zell am Ziller-​Gerlos-​Königsleiten-​Hochkrimml,Austria,2500,580,52,43,89,11,143,Yes,No,22,21,13,56,89415,792,47.2372435,11.8994042
27,La Molina-​Masella-Alp2500,Spain,2531,1616,45,76,47,18,141,Yes,Yes,19,13,1,33,39750,1010,42.334633,1.934055
28,Auron-Saint-Etienne-de-Tinée-,France,1600,1150,34,60,45,30,135,Yes,No,7,9,3,19,25030,440,44.228055,6.932990000000000
29,Alta Badia,Italy,2550,1324,52,70,52,8,130,Yes,No,18,30,11,59,89327,391,46.583426,11.9047637
30,La Clusaz-​Manigod,France,2477,1040,37,62,40,23,125,Yes,Yes,28,14,7,49,59346,223,45.861224,6.369137000000000
31,Espace Villard Corrençon-Villard-de-Lans-​Corrençon-en-Vercors,France,2050,1050,36,50,50,25,125,Yes,No,18,7,3,28,26600,339,45.04481200000000,5.559897
32,Val Cenis-Lanslevillard-​Lanslebourg-​Termignon,France,2800,1300,36,73,42,10,125,Yes,Yes,13,13,2,28,39824,200,45.289457,6.909927
33,Isola 2000,France,2603,1800,34,75,35,10,120,Yes,Yes,12,7,3,22,21807,430,44.1850371,7.160228500000000
34,Obersaxen-​Mundaun-​Val Lumnezia,Switzerland,2310,1201,51,60,40,20,120,Yes,Yes,10,9,0,19,20720,297,46.7486111,9.1022222
35,Les 7 Laux-Prapoutel-​Le Pleynet-​Pipay,France,2400,1350,36,46,36,38,120,Yes,No,15,8,1,24,32232,200,45.2556682,5.9931182
36,Corvatsch-​Furtschellas,Switzerland,3303,1797,69,13,89,17,120,Yes,Yes,5,6,3,14,18510,0,46.4083465,9.8160834
